date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:01	33467/33467	---M-Z	200	added ('OK')	text/html	etag:%2282bb-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-ecommerce-product-list.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-ecommerce-product-list.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:01	28773/28773	---M-Z	200	added ('OK')	text/html	etag:%227065-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-ecommerce-product-detail.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-ecommerce-product-detail.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:01	24049/24049	---M-Z	200	added ('OK')	text/html	etag:%225df1-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-ecommerce-cart.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-ecommerce-cart.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:01	26965/26965	---M-Z	200	added ('OK')	text/html	etag:%226955-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-ecommerce-checkout.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-ecommerce-checkout.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:02	26916/26916	---M-Z	200	added ('OK')	text/html	etag:%226924-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-alerts.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-alerts.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:02	31181/31181	---M-Z	200	added ('OK')	text/html	etag:%2279cd-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-avatar.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-avatar.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:02	36672/36672	---M-Z	200	added ('OK')	text/html	etag:%228f40-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-buttons.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-buttons.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:03	28346/28346	---M-Z	200	added ('OK')	text/html	etag:%226eba-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-badges.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-badges.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:03	33197/33197	---M-Z	200	added ('OK')	text/html	etag:%2281ad-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-cards.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-cards.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:03	26060/26060	---M-Z	200	added ('OK')	text/html	etag:%2265cc-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-carousels.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-carousels.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:04	31106/31106	---M-Z	200	added ('OK')	text/html	etag:%227982-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-check-radio.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-check-radio.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:04	99990/99990	---M-Z	200	added ('OK')	text/html	etag:%2218696-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-dropdowns.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-dropdowns.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:04	28650/28650	---M-Z	200	added ('OK')	text/html	etag:%226fea-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-grids.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-grids.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:05	23578/23578	---M-Z	200	added ('OK')	text/html	etag:%225c1a-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-images.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-images.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:05	27096/27096	---M-Z	200	added ('OK')	text/html	etag:%2269d8-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-list.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-list.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:05	53258/53258	---M-Z	200	added ('OK')	text/html	etag:%22d00a-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-modals.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-modals.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:06	24868/24868	---M-Z	200	added ('OK')	text/html	etag:%226124-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-navs.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-navs.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:06	31402/31402	---M-Z	200	added ('OK')	text/html	etag:%227aaa-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-navbar.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-navbar.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:06	25747/25747	---M-Z	200	added ('OK')	text/html	etag:%226493-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-paginations.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-paginations.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:07	31885/31885	---M-Z	200	added ('OK')	text/html	etag:%227c8d-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-popover-tooltips.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-popover-tooltips.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:07	28217/28217	---M-Z	200	added ('OK')	text/html	etag:%226e39-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-progress.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-progress.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:07	27596/27596	---M-Z	200	added ('OK')	text/html	etag:%226bcc-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-spinners.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-spinners.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:08	29516/29516	---M-Z	200	added ('OK')	text/html	etag:%22734c-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-tabs-accordions.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-tabs-accordions.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:08	26913/26913	---M-Z	200	added ('OK')	text/html	etag:%226921-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-toasts.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-toasts.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:08	29817/29817	---M-Z	200	added ('OK')	text/html	etag:%227479-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-typography.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-typography.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:09	21815/21815	---M-Z	200	added ('OK')	text/html	etag:%225537-5c0244664d1e2-gzip%22	https://mannatthemes.com/dastyle/default/ui-videos.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/ui-videos.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:09	27937/27937	---M-Z	200	added ('OK')	text/html	etag:%226d21-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-animation.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-animation.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:09	22278/22278	---M-Z	200	added ('OK')	text/html	etag:%225706-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-clipboard.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-clipboard.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:09	21035/21035	---M-Z	200	added ('OK')	text/html	etag:%22522b-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-highlight.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-highlight.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:10	21857/21857	---M-Z	200	added ('OK')	text/html	etag:%225561-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-idle-timer.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-idle-timer.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:10	46235/46235	---M-Z	200	added ('OK')	text/html	etag:%22b49b-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-kanban.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-kanban.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:10	22008/22008	---M-Z	200	added ('OK')	text/html	etag:%2255f8-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-lightbox.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-lightbox.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:11	23645/23645	---M-Z	200	added ('OK')	text/html	etag:%225c5d-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-nestable.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-nestable.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:11	22297/22297	---M-Z	200	added ('OK')	text/html	etag:%225719-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-rangeslider.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-rangeslider.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:11	24053/24053	---M-Z	200	added ('OK')	text/html	etag:%225df5-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-ratings.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-ratings.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:12	26989/26989	---M-Z	200	added ('OK')	text/html	etag:%22696d-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-ribbons.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-ribbons.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:12	21184/21184	---M-Z	200	added ('OK')	text/html	etag:%2252c0-5c024466260d3-gzip%22	https://mannatthemes.com/dastyle/default/advanced-session.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-session.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:12	25200/25200	---M-Z	200	added ('OK')	text/html	etag:%226270-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/advanced-sweetalerts.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/advanced-sweetalerts.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:13	33847/33847	---M-Z	200	added ('OK')	text/html	etag:%228437-5c0244664b2a1-gzip%22	https://mannatthemes.com/dastyle/default/forms-advanced.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/forms-advanced.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:13	54875/54875	---M-Z	200	added ('OK')	text/html	etag:%22d65b-5c0244664b2a1-gzip%22	https://mannatthemes.com/dastyle/default/forms-elements.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/forms-elements.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:13	20445/20445	---M-Z	200	added ('OK')	text/html	etag:%224fdd-5c0244664b2a1-gzip%22	https://mannatthemes.com/dastyle/default/forms-editors.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/forms-editors.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:14	21566/21566	---M-Z	200	added ('OK')	text/html	etag:%22543e-5c0244664c241-gzip%22	https://mannatthemes.com/dastyle/default/forms-uploads.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/forms-uploads.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
